"","Var1","Freq"
"1","18",12
"2","19",35
"3","20",50
"4","21",79
"5","22",129
"6","23",202
"7","24",302
"8","25",527
"9","26",805
"10","27",909
"11","28",1038
"12","29",1185
"13","30",1757
"14","31",1996
"15","32",2085
"16","33",1972
"17","34",1930
"18","35",1894
"19","36",1806
"20","37",1696
"21","38",1466
"22","39",1487
"23","40",1355
"24","41",1291
"25","42",1242
"26","43",1161
"27","44",1136
"28","45",1216
"29","46",1175
"30","47",1088
"31","48",997
"32","49",994
"33","50",939
"34","51",936
"35","52",911
"36","53",891
"37","54",811
"38","55",806
"39","56",778
"40","57",828
"41","58",740
"42","59",770
"43","60",596
"44","61",147
"45","62",80
"46","63",77
"47","64",74
"48","65",59
"49","66",63
"50","67",54
"51","68",36
"52","69",44
"53","70",67
"54","71",54
"55","72",52
"56","73",44
"57","74",37
"58","75",39
"59","76",32
"60","77",44
"61","78",30
"62","79",25
"63","80",31
"64","81",17
"65","82",19
"66","83",22
"67","84",9
"68","85",5
"69","86",9
"70","87",4
"71","88",2
"72","89",3
"73","90",2
"74","92",2
"75","93",2
"76","94",1
"77","95",2
