"","x"
"1",2143
"2",29
"3",2
"4",1506
"5",1
"6",231
"7",447
"8",2
"9",121
"10",593
"11",270
"12",390
"13",6
"14",71
"15",162
"16",229
"17",13
"18",52
"19",60
"20",0
"21",723
"22",779
"23",23
"24",50
"25",0
"26",-372
"27",255
"28",113
"29",-246
"30",265
"31",839
"32",378
"33",39
"34",0
"35",10635
"36",63
"37",-7
"38",-3
"39",506
"40",0
"41",2586
"42",49
"43",104
"44",529
"45",96
"46",-171
"47",-364
"48",0
"49",0
"50",0
"51",1291
"52",-244
"53",0
"54",-76
"55",-103
"56",243
"57",424
"58",306
"59",24
"60",179
"61",0
"62",989
"63",249
"64",790
"65",154
"66",6530
"67",100
"68",59
"69",1205
"70",12223
"71",5935
"72",25
"73",282
"74",23
"75",1937
"76",384
"77",582
"78",91
"79",0
"80",1
"81",206
"82",164
"83",690
"84",2343
"85",137
"86",173
"87",45
"88",1270
"89",16
"90",486
"91",50
"92",152
"93",290
"94",54
"95",-37
"96",101
"97",383
"98",81
"99",0
"100",229
"101",-674
"102",90
"103",128
"104",179
"105",0
"106",54
"107",151
"108",61
"109",30
"110",523
"111",31
"112",79
"113",-34
"114",448
"115",81
"116",144
"117",351
"118",-67
"119",262
"120",0
"121",56
"122",26
"123",3
"124",41
"125",7
"126",105
"127",818
"128",-16
"129",0
"130",2476
"131",1185
"132",217
"133",1685
"134",802
"135",0
"136",94
"137",0
"138",0
"139",517
"140",265
"141",947
"142",3
"143",42
"144",37
"145",57
"146",22
"147",8
"148",293
"149",3
"150",348
"151",-19
"152",0
"153",-4
"154",18
"155",139
"156",0
"157",1883
"158",216
"159",782
"160",904
"161",1705
"162",47
"163",176
"164",1225
"165",86
"166",82
"167",271
"168",1378
"169",184
"170",0
"171",0
"172",1357
"173",19
"174",434
"175",92
"176",1151
"177",41
"178",51
"179",214
"180",1161
"181",37
"182",787
"183",59
"184",253
"185",211
"186",235
"187",4384
"188",4080
"189",53
"190",0
"191",2127
"192",377
"193",73
"194",445
"195",243
"196",307
"197",155
"198",173
"199",400
"200",1428
"201",219
"202",7
"203",575
"204",298
"205",0
"206",5699
"207",176
"208",517
"209",257
"210",56
"211",-390
"212",330
"213",195
"214",301
"215",-41
"216",483
"217",28
"218",13
"219",965
"220",378
"221",219
"222",324
"223",-69
"224",0
"225",205
"226",278
"227",1065
"228",34
"229",1033
"230",1467
"231",-12
"232",388
"233",294
"234",1827
"235",627
"236",25
"237",315
"238",0
"239",66
"240",-9
"241",349
"242",100
"243",0
"244",434
"245",3237
"246",275
"247",0
"248",207
"249",483
"250",2248
"251",428
"252",0
"253",0
"254",140
"255",297
"256",279
"257",901
"258",2573
"259",143
"260",475
"261",70
"262",318
"263",275
"264",742
"265",236
"266",25
"267",600
"268",-349
"269",183
"270",0
"271",0
"272",0
"273",1078
"274",155
"275",190
"276",319
"277",-185
"278",47
"279",570
"280",19
"281",61
"282",-62
"283",258
"284",76
"285",0
"286",352
"287",368
"288",339
"289",1331
"290",672
"291",58
"292",447
"293",423
"294",0
"295",19
"296",13
"297",3
"298",82
"299",28
"300",792
"301",408
"302",531
"303",211
"304",62
"305",257
"306",1234
"307",313
"308",89
"309",129
"310",0
"311",353
"312",851
"313",96
"314",398
"315",193
"316",-358
"317",539
"318",0
"319",0
"320",490
"321",0
"322",403
"323",161
"324",2558
"325",98
"326",115
"327",436
"328",831
"329",206
"330",290
"331",1
"332",57
"333",-457
"334",1387
"335",24598
"336",30
"337",1022
"338",56
"339",-2
"340",121
"341",842
"342",693
"343",-333
"344",1533
"345",46
"346",18
"347",44
"348",-100
"349",510
"350",685
"351",187
"352",66
"353",560
"354",0
"355",27
"356",12
"357",34
"358",1068
"359",211
"360",377
"361",263
