"","Var1","Freq"
"1","-8019",1
"2","-6847",1
"3","-4057",1
"4","-3372",1
"5","-3313",1
"6","-3058",1
"7","-2827",1
"8","-2712",1
"9","-2604",1
"10","-2282",1
"11","-2122",1
"12","-2093",1
"13","-2082",1
"14","-2049",1
"15","-1980",1
"16","-1968",1
"17","-1965",1
"18","-1944",1
"19","-1941",1
"20","-1884",2
"21","-1882",1
"22","-1854",1
"23","-1818",1
"24","-1781",1
"25","-1779",1
"26","-1746",1
"27","-1737",1
"28","-1730",1
"29","-1725",1
"30","-1701",1
"31","-1680",1
"32","-1668",1
"33","-1664",1
"34","-1661",1
"35","-1655",1
"36","-1636",1
"37","-1629",1
"38","-1621",2
"39","-1613",1
"40","-1601",1
"41","-1598",1
"42","-1586",1
"43","-1547",1
"44","-1545",1
"45","-1531",1
"46","-1500",1
"47","-1493",1
"48","-1490",1
"49","-1489",1
"50","-1485",1
"51","-1480",1
"52","-1459",1
"53","-1455",2
"54","-1451",1
"55","-1445",1
"56","-1415",3
"57","-1414",1
"58","-1400",2
"59","-1386",1
"60","-1385",1
"61","-1379",2
"62","-1361",1
"63","-1350",1
"64","-1336",1
"65","-1329",1
"66","-1322",1
"67","-1317",1
"68","-1313",1
"69","-1312",1
"70","-1310",1
"71","-1300",1
"72","-1272",1
"73","-1270",1
"74","-1249",1
"75","-1246",1
"76","-1232",1
"77","-1224",1
"78","-1217",1
"79","-1212",2
"80","-1206",2
"81","-1202",1
"82","-1196",1
"83","-1193",1
"84","-1185",1
"85","-1176",1
"86","-1168",1
"87","-1164",1
"88","-1161",1
"89","-1157",2
"90","-1148",1
"91","-1139",1
"92","-1137",2
"93","-1136",2
"94","-1129",1
"95","-1124",1
"96","-1122",1
"97","-1112",2
"98","-1110",1
"99","-1105",1
"100","-1099",1
"101","-1092",1
"102","-1091",1
"103","-1089",1
"104","-1085",1
"105","-1083",2
"106","-1080",1
"107","-1076",1
"108","-1053",1
"109","-1050",1
"110","-1049",1
"111","-1042",2
"112","-1041",1
"113","-1040",1
"114","-1038",2
"115","-1036",2
"116","-1034",1
"117","-1027",1
"118","-1026",1
"119","-1019",1
"120","-1014",1
"121","-1013",1
"122","-1011",1
"123","-1007",1
"124","-1006",2
"125","-1002",1
"126","-1001",1
"127","-999",1
"128","-998",1
"129","-997",1
"130","-995",1
"131","-994",1
"132","-988",1
"133","-985",1
"134","-983",1
"135","-982",1
"136","-980",2
"137","-978",1
"138","-976",1
"139","-974",2
"140","-972",2
"141","-971",1
"142","-970",2
"143","-969",1
"144","-967",1
"145","-966",1
"146","-962",1
"147","-961",1
"148","-954",2
"149","-948",1
"150","-947",2
"151","-946",1
"152","-942",1
"153","-940",1
"154","-939",1
"155","-938",3
"156","-934",1
"157","-933",1
"158","-932",3
"159","-931",1
"160","-930",1
"161","-923",1
"162","-921",1
"163","-918",1
"164","-910",2
"165","-905",1
"166","-901",1
"167","-898",4
"168","-896",1
"169","-895",1
"170","-892",3
"171","-890",1
"172","-888",2
"173","-887",2
"174","-886",2
"175","-880",2
"176","-879",1
"177","-876",1
"178","-874",2
"179","-872",3
"180","-871",2
"181","-870",2
"182","-869",1
"183","-868",2
"184","-867",1
"185","-865",1
"186","-864",2
"187","-861",1
"188","-859",1
"189","-854",1
"190","-853",1
"191","-852",1
"192","-849",3
"193","-848",3
"194","-847",2
"195","-846",1
"196","-839",2
"197","-838",1
"198","-835",1
"199","-834",1
"200","-832",1
"201","-825",3
"202","-824",1
"203","-820",1
"204","-817",1
"205","-816",2
"206","-813",3
"207","-812",1
"208","-811",1
"209","-810",1
