"","Var1","Freq"
"1","1",17544
"2","2",12505
"3","3",5521
"4","4",3522
"5","5",1764
"6","6",1291
"7","7",735
"8","8",540
"9","9",327
"10","10",266
"11","11",201
"12","12",155
"13","13",133
"14","14",93
"15","15",84
"16","16",79
"17","17",69
"18","18",51
"19","19",44
"20","20",43
"21","21",35
"22","22",23
"23","23",22
"24","24",20
"25","25",22
"26","26",13
"27","27",10
"28","28",16
"29","29",16
"30","30",8
"31","31",12
"32","32",9
"33","33",6
"34","34",5
"35","35",4
"36","36",4
"37","37",2
"38","38",3
"39","39",1
"40","41",2
"41","43",3
"42","44",1
"43","46",1
"44","50",2
"45","51",1
"46","55",1
"47","58",1
"48","63",1
