"","Var1","Freq"
"1","0",3
"2","1",2
"3","2",3
"4","3",4
"5","4",15
"6","5",35
"7","6",45
"8","7",73
"9","8",85
"10","9",77
"11","10",76
"12","11",97
"13","12",80
"14","13",88
"15","14",84
"16","15",85
"17","16",88
"18","17",81
"19","18",94
"20","19",71
"21","20",83
"22","21",79
"23","22",87
"24","23",77
"25","24",80
"26","25",79
"27","26",70
"28","27",71
"29","28",55
"30","29",80
"31","30",63
"32","31",57
"33","32",54
"34","33",57
"35","34",73
"36","35",66
"37","36",90
"38","37",77
"39","38",62
"40","39",76
"41","40",72
"42","41",89
"43","42",86
"44","43",96
"45","44",95
"46","45",82
"47","46",84
"48","47",81
"49","48",97
"50","49",95
"51","50",112
"52","51",116
"53","52",100
"54","53",104
"55","54",106
"56","55",118
"57","56",123
"58","57",120
"59","58",131
"60","59",130
"61","60",107
"62","61",127
"63","62",108
"64","63",142
"65","64",132
"66","65",146
"67","66",121
"68","67",155
"69","68",145
"70","69",134
"71","70",140
"72","71",162
"73","72",161
"74","73",166
"75","74",149
"76","75",147
"77","76",160
"78","77",155
"79","78",154
"80","79",135
"81","80",164
"82","81",166
"83","82",165
"84","83",145
"85","84",140
"86","85",166
"87","86",144
"88","87",163
"89","88",170
"90","89",177
"91","90",184
"92","91",170
"93","92",168
"94","93",155
"95","94",149
"96","95",156
"97","96",155
"98","97",168
"99","98",162
"100","99",152
"101","100",159
"102","101",163
"103","102",160
"104","103",169
"105","104",175
"106","105",150
"107","106",165
"108","107",144
"109","108",165
"110","109",156
"111","110",161
"112","111",166
"113","112",174
"114","113",166
"115","114",175
"116","115",142
"117","116",136
"118","117",150
"119","118",138
"120","119",170
"121","120",136
"122","121",173
"123","122",175
"124","123",168
"125","124",188
"126","125",165
"127","126",163
"128","127",154
"129","128",154
"130","129",147
"131","130",147
"132","131",144
"133","132",141
"134","133",151
"135","134",152
"136","135",160
"137","136",174
"138","137",124
"139","138",146
"140","139",174
"141","140",153
"142","141",127
"143","142",122
"144","143",151
"145","144",154
"146","145",140
"147","146",125
"148","147",148
"149","148",149
"150","149",136
"151","150",161
"152","151",157
"153","152",139
"154","153",141
"155","154",140
"156","155",144
"157","156",146
"158","157",157
"159","158",156
"160","159",149
"161","160",145
"162","161",137
"163","162",118
"164","163",133
"165","164",139
"166","165",130
"167","166",159
"168","167",126
"169","168",140
"170","169",120
"171","170",112
"172","171",128
"173","172",134
"174","173",129
"175","174",125
"176","175",134
"177","176",124
"178","177",112
"179","178",133
"180","179",120
"181","180",123
"182","181",124
"183","182",111
"184","183",103
"185","184",117
"186","185",139
"187","186",85
"188","187",120
"189","188",119
"190","189",113
"191","190",99
"192","191",100
"193","192",111
"194","193",123
"195","194",97
"196","195",99
"197","196",92
"198","197",115
"199","198",120
"200","199",105
"201","200",120
"202","201",118
"203","202",100
"204","203",110
"205","204",105
"206","205",92
"207","206",108
"208","207",111
"209","208",99
"210","209",94
"211","210",111
"212","211",115
"213","212",99
"214","213",90
"215","214",104
"216","215",101
"217","216",95
"218","217",107
"219","218",83
"220","219",104
"221","220",96
"222","221",96
"223","222",101
"224","223",80
"225","224",88
"226","225",91
"227","226",118
"228","227",94
"229","228",81
"230","229",87
"231","230",88
"232","231",90
"233","232",90
"234","233",81
"235","234",72
"236","235",70
"237","236",93
"238","237",79
"239","238",87
"240","239",99
"241","240",95
"242","241",84
"243","242",66
"244","243",86
"245","244",89
"246","245",93
"247","246",85
"248","247",89
"249","248",83
"250","249",80
"251","250",85
"252","251",87
"253","252",81
"254","253",82
"255","254",77
"256","255",88
"257","256",76
"258","257",79
"259","258",75
"260","259",76
"261","260",77
"262","261",73
"263","262",78
"264","263",71
"265","264",66
"266","265",77
"267","266",73
"268","267",77
"269","268",89
"270","269",61
"271","270",71
"272","271",67
"273","272",77
"274","273",72
"275","274",57
"276","275",60
"277","276",63
"278","277",65
"279","278",60
"280","279",52
"281","280",67
"282","281",68
"283","282",71
"284","283",71
"285","284",54
"286","285",66
"287","286",55
"288","287",57
"289","288",62
"290","289",56
"291","290",65
"292","291",60
"293","292",50
"294","293",67
"295","294",62
"296","295",64
"297","296",60
"298","297",71
"299","298",61
"300","299",54
"301","300",55
"302","301",71
"303","302",49
"304","303",43
"305","304",54
"306","305",71
"307","306",66
"308","307",40
"309","308",43
"310","309",60
"311","310",39
"312","311",52
"313","312",48
"314","313",50
"315","314",56
"316","315",44
"317","316",53
"318","317",60
"319","318",61
"320","319",53
"321","320",44
"322","321",42
"323","322",58
"324","323",62
"325","324",57
"326","325",43
"327","326",62
"328","327",50
"329","328",50
"330","329",54
"331","330",39
"332","331",41
"333","332",52
"334","333",56
"335","334",38
"336","335",49
"337","336",42
"338","337",40
"339","338",35
"340","339",56
"341","340",52
"342","341",45
"343","342",55
"344","343",45
"345","344",49
"346","345",57
"347","346",43
"348","347",47
"349","348",40
"350","349",38
"351","350",48
"352","351",36
"353","352",48
"354","353",43
"355","354",43
"356","355",38
"357","356",29
"358","357",37
"359","358",48
"360","359",44
"361","360",52
"362","361",50
"363","362",47
"364","363",42
"365","364",45
"366","365",35
"367","366",38
"368","367",32
"369","368",30
"370","369",41
"371","370",39
"372","371",42
"373","372",30
"374","373",29
"375","374",38
"376","375",34
"377","376",38
"378","377",42
"379","378",38
"380","379",43
"381","380",32
"382","381",34
"383","382",32
"384","383",37
"385","384",37
"386","385",35
"387","386",40
"388","387",34
"389","388",39
"390","389",38
"391","390",40
"392","391",30
"393","392",40
"394","393",38
"395","394",42
"396","395",33
"397","396",38
"398","397",30
"399","398",28
"400","399",44
"401","400",42
"402","401",37
"403","402",23
"404","403",18
"405","404",39
"406","405",29
"407","406",39
"408","407",33
"409","408",36
"410","409",34
"411","410",27
"412","411",34
"413","412",35
"414","413",27
"415","414",30
"416","415",29
"417","416",25
