"st0","st1","st2","st3","st4","node.cid","tgt.n","tgt.sum","tgt.mean","all.node.cid","all.tgt.n","all.tgt.sum","all.tgt.mean","node.split.cond","node.rpart.id","node.rpart.rowno"
"┌─────────────────────────────","-T01002 ( N= 227, P2= 32.16% ) poutcome=success","","","","T01002","227","73","0.3215859030837","T01002",227,73,0.3215859030837,"poutcome=success",3,11
"┤N00001 ( N= 27,826, P2= 7.03% ) root","","","","","","","","","N00001",27826,1955,0.0702580320563502,"root",1,1
"│","┌─────────────────────────────","-T02002 ( N= 167, P2= 34.13% ) age>=60.5","","","T02002","167","57","0.341317365269461","T02002",167,57,0.341317365269461,"age>=60.5",5,10
"└─────────────────────────────","┤N01001 ( N= 27,599, P2= 6.82% ) poutcome=failure,other,unknown","","","","","","","","N01001",27599,1882,0.0681908764810319,"poutcome=failure,other,unknown",2,2
"","│","","┌─────────────────────────────","-T04004 ( N= 2,031, P2= 11.62% ) age<29.5","T04004","2031","236","0.116198916789759","T04004",2031,236,0.116198916789759,"age<29.5",19,9
"","│","┌─────────────────────────────","┤N03002 ( N= 10,708, P2= 8.42% ) marital=divorced,single","","","","","","N03002",10708,902,0.0842360851699664,"marital=divorced,single",9,7
"","│","│","└─────────────────────────────","-T04003 ( N= 8,677, P2= 7.68% ) age>=29.5","T04003","8677","666","0.0767546387000115","T04003",8677,666,0.0767546387000115,"age>=29.5",18,8
"","└─────────────────────────────","┤N02001 ( N= 27,432, P2= 6.65% ) age<60.5","","","","","","","N02001",27432,1825,0.0665281423155439,"age<60.5",4,3
"","","│","┌─────────────────────────────","-T04002 ( N= 4,068, P2= 7.23% ) education=tertiary","T04002","4068","294","0.0722713864306785","T04002",4068,294,0.0722713864306785,"education=tertiary",17,6
"","","└─────────────────────────────","┤N03001 ( N= 16,724, P2= 5.52% ) marital=married","","","","","","N03001",16724,923,0.0551901458981105,"marital=married",8,4
"","","","└─────────────────────────────","-T04001 ( N= 12,656, P2= 4.97% ) education=primary,secondary,unknown","T04001","12656","629","0.0496997471554994","T04001",12656,629,0.0496997471554994,"education=primary,secondary,unknown",16,5
