date,max,min,sum
2008-01-01,3358,2433,69028
2008-01-02,3479,2349,70410
2008-01-03,3593,2392,72254
2008-01-04,4037,2415,79576
2008-01-05,4120,2526,82950
2008-01-06,4000,2626,79664
2008-01-07,4843,2629,95284
2008-01-08,4690,2905,94980
2008-01-09,4693,2874,94899
2008-01-10,4796,2951,96501
2008-01-11,4777,2989,96811
2008-01-12,4586,2857,93524
2008-01-13,4409,2818,87627
2008-01-14,4756,2851,94656
2008-01-15,5135,3000,102328
2008-01-16,4995,3054,100723
2008-01-17,5277,3073,103623
2008-01-18,5278,3151,107030
2008-01-19,4666,3157,97419
2008-01-20,4451,2968,90095
2008-01-21,5300,2854,103722
2008-01-22,5224,3130,104962
2008-01-23,5502,3096,109861
2008-01-24,5247,3125,104276
2008-01-25,5196,3233,105717
2008-01-26,4661,3193,97475
2008-01-27,4489,2997,90041
2008-01-28,5221,2978,103912
2008-01-29,5262,3104,105936
2008-01-30,4830,3111,99333
2008-01-31,5043,3052,100950
2008-02-01,4986,3146,101748
2008-02-02,4541,3090,95150
2008-02-03,4770,2924,95517
2008-02-04,5048,2993,101995
2008-02-05,4983,3175,102419
2008-02-06,5407,3133,108206
2008-02-07,5079,3226,103767
2008-02-08,5018,3203,103265
2008-02-09,4845,3176,100785
2008-02-10,4259,2935,87013
2008-02-11,4500,2840,89933
2008-02-12,5112,2907,102427
2008-02-13,5250,3171,105122
2008-02-14,5043,3255,103760
2008-02-15,4883,3175,101311
2008-02-16,4542,3120,94406
2008-02-17,4521,2955,89382
2008-02-18,5007,2966,100815
2008-02-19,4965,3174,102116
2008-02-20,4767,3167,99096
2008-02-21,4723,3049,97122
2008-02-22,4569,3037,94582
2008-02-23,4349,2909,87752
2008-02-24,4429,2913,88038
2008-02-25,4957,2942,99574
2008-02-26,4884,3050,99216
2008-02-27,4876,2971,98334
2008-02-28,4784,3093,98270
2008-02-29,4544,3052,94813
2008-03-01,4194,2935,86382
2008-03-02,4036,2779,81195
2008-03-03,4569,2733,92168
2008-03-04,4646,2922,94334
2008-03-05,4775,2962,97312
2008-03-06,4717,3062,96781
2008-03-07,4642,3004,95133
2008-03-08,4064,2974,85669
2008-03-09,3841,2772,78474
2008-03-10,4667,2636,93109
2008-03-11,4250,2902,89197
2008-03-12,4517,2793,90353
2008-03-13,4389,2856,89940
2008-03-14,4397,2788,90489
2008-03-15,3742,2698,78167
2008-03-16,3577,2505,72066
2008-03-17,4203,2494,83197
2008-03-18,4167,2695,84897
2008-03-19,4308,2701,87950
2008-03-20,4360,2740,87886
2008-03-21,4433,2782,90376
2008-03-22,3768,2738,79448
2008-03-23,3612,2557,72819
2008-03-24,4470,2481,89147
2008-03-25,4150,2781,86285
2008-03-26,4038,2696,84061
2008-03-27,4125,2702,84917
2008-03-28,4126,2697,84894
2008-03-29,3757,2690,78114
2008-03-30,3860,2516,75868
2008-03-31,4617,2537,90239
2008-04-01,4254,2803,88289
2008-04-02,4165,2774,86452
2008-04-03,4070,2747,84973
2008-04-04,4017,2732,84028
2008-04-05,3661,2681,76591
2008-04-06,3515,2490,70862
2008-04-07,4193,2471,83872
2008-04-08,4373,2707,89867
2008-04-09,4116,2741,85503
2008-04-10,4462,2716,90590
2008-04-11,4034,2752,85027
2008-04-12,3637,2655,76489
2008-04-13,3815,2463,75501
2008-04-14,4182,2516,84468
2008-04-15,4006,2726,83821
2008-04-16,4027,2703,83753
2008-04-17,4168,2678,85013
2008-04-18,4211,2710,87243
2008-04-19,3731,2650,77946
2008-04-20,3547,2428,71524
2008-04-21,3975,2452,81133
2008-04-22,3980,2643,82936
2008-04-23,4002,2667,82898
2008-04-24,4067,2654,84135
2008-04-25,3894,2628,82088
2008-04-26,3744,2562,77242
2008-04-27,3469,2421,70401
2008-04-28,3686,2384,76358
2008-04-29,3564,2430,72916
2008-04-30,3855,2395,78541
2008-05-01,3794,2407,77750
2008-05-02,3764,2386,77004
2008-05-03,3305,2286,67651
2008-05-04,3252,2165,65026
2008-05-05,3320,2172,66472
2008-05-06,3460,2194,68878
2008-05-07,4019,2342,79919
2008-05-08,3990,2545,81957
2008-05-09,3999,2601,82416
2008-05-10,3735,2550,78071
2008-05-11,3544,2406,71933
2008-05-12,4082,2408,81888
2008-05-13,4178,2640,86428
2008-05-14,4248,2637,85704
2008-05-15,3918,2616,82382
2008-05-16,3980,2584,82170
2008-05-17,3584,2512,75325
2008-05-18,3444,2319,69347
2008-05-19,4015,2390,81295
2008-05-20,4115,2634,84300
2008-05-21,4033,2582,82844
2008-05-22,4209,2599,84827
2008-05-23,4445,2648,87503
2008-05-24,3716,2561,78310
2008-05-25,3625,2414,72676
2008-05-26,4368,2427,85198
2008-05-27,4292,2603,85720
2008-05-28,4225,2616,85074
2008-05-29,4085,2622,83877
2008-05-30,3994,2581,82664
2008-05-31,3657,2533,77182
2008-06-01,3452,2342,69579
2008-06-02,3981,2374,80584
2008-06-03,4067,2606,83710
2008-06-04,3948,2605,82414
2008-06-05,4058,2604,83641
2008-06-06,4276,2637,85780
2008-06-07,3712,2571,78424
2008-06-08,3607,2410,72624
2008-06-09,4212,2470,84680
2008-06-10,4350,2620,87068
2008-06-11,4373,2693,88092
2008-06-12,4153,2735,85565
2008-06-13,4350,2613,86422
2008-06-14,3791,2600,79233
2008-06-15,3561,2373,72283
2008-06-16,4384,2445,85723
2008-06-17,4377,2697,87915
2008-06-18,4397,2685,87917
2008-06-19,4484,2738,89787
2008-06-20,4507,2768,90523
2008-06-21,3997,2728,83938
2008-06-22,3716,2525,76609
2008-06-23,4252,2492,85396
2008-06-24,4525,2680,89829
2008-06-25,4331,2718,87720
2008-06-26,4136,2678,84833
2008-06-27,4263,2626,85944
2008-06-28,3795,2599,80061
2008-06-29,3632,2467,74395
2008-06-30,4160,2467,83485
2008-07-01,4290,2628,86160
2008-07-02,4502,2690,89459
2008-07-03,4519,2720,90322
2008-07-04,5033,2795,96666
2008-07-05,4539,2770,91198
2008-07-06,4245,2660,86043
2008-07-07,4739,2719,93846
2008-07-08,4735,2801,94020
2008-07-09,4582,2779,91469
2008-07-10,4589,2763,91874
2008-07-11,4884,2772,95391
2008-07-12,4576,2751,90781
2008-07-13,4392,2650,88061
2008-07-14,5361,2749,102697
2008-07-15,5311,2974,102642
2008-07-16,5422,2921,103808
2008-07-17,5515,3010,106437
2008-07-18,5457,3089,106456
2008-07-19,4819,2929,96218
2008-07-20,4298,2712,87960
2008-07-21,4512,2683,90262
2008-07-22,5564,2866,106062
2008-07-23,5713,3070,109874
2008-07-24,5847,3129,112133
2008-07-25,6008,3162,112987
2008-07-26,4778,3012,96797
2008-07-27,4468,2794,90015
2008-07-28,5263,2699,101273
2008-07-29,5375,2909,103943
2008-07-30,5192,2895,100128
2008-07-31,5147,2834,99088
2008-08-01,5308,2902,101699
2008-08-02,4816,2894,96379
2008-08-03,4859,2840,96845
2008-08-04,6025,2970,112647
2008-08-05,5574,3171,107922
2008-08-06,5660,3056,109449
2008-08-07,5991,3110,114162
2008-08-08,6089,3198,115761
2008-08-09,5105,3117,98910
2008-08-10,4231,2692,85075
2008-08-11,5151,2689,98374
2008-08-12,5022,2848,97911
2008-08-13,4821,2803,96068
2008-08-14,4762,2729,94434
2008-08-15,4862,2702,96311
2008-08-16,4552,2720,90747
2008-08-17,3618,2553,75664
2008-08-18,4725,2394,89895
2008-08-19,5401,2765,101190
2008-08-20,5361,2826,101746
2008-08-21,5150,2786,97226
2008-08-22,4399,2676,87432
2008-08-23,3636,2611,77120
2008-08-24,3724,2451,74634
2008-08-25,4398,2517,86910
2008-08-26,4343,2698,87646
2008-08-27,4633,2661,91092
2008-08-28,4823,2777,95392
2008-08-29,5030,2786,96993
2008-08-30,4175,2792,86554
2008-08-31,4205,2593,82957
2008-09-01,5076,2617,97409
2008-09-02,5372,2914,103952
2008-09-03,5496,2987,106182
2008-09-04,5227,2990,102442
2008-09-05,5173,2928,100790
2008-09-06,4478,2871,91242
2008-09-07,4275,2695,86212
2008-09-08,5189,2667,98215
2008-09-09,4844,2780,94190
2008-09-10,4695,2761,92194
2008-09-11,4506,2737,90492
2008-09-12,5058,2754,96529
2008-09-13,4345,2770,88375
2008-09-14,4092,2618,81216
2008-09-15,4182,2575,82834
2008-09-16,4540,2702,90597
2008-09-17,4808,2757,94027
2008-09-18,4582,2846,92295
2008-09-19,4584,2788,91938
2008-09-20,4144,2742,84915
2008-09-21,3865,2549,77082
2008-09-22,4217,2540,84486
2008-09-23,4183,2625,82943
2008-09-24,4407,2669,88125
2008-09-25,4491,2695,89756
2008-09-26,4651,2786,91283
2008-09-27,3650,2591,75648
2008-09-28,3505,2380,69952
2008-09-29,4084,2396,80498
2008-09-30,4084,2559,82045
2008-10-01,4075,2610,83149
2008-10-02,4072,2592,82586
2008-10-03,4055,2596,82552
2008-10-04,3712,2577,75917
2008-10-05,3615,2400,71360
2008-10-06,4144,2445,82204
2008-10-07,4275,2643,85061
2008-10-08,4171,2694,84928
2008-10-09,4228,2651,84825
2008-10-10,4268,2655,85334
2008-10-11,3726,2631,76946
2008-10-12,3446,2378,68815
2008-10-13,3671,2356,72313
2008-10-14,4199,2471,82117
2008-10-15,4179,2618,83394
2008-10-16,4168,2619,83206
2008-10-17,4149,2636,83058
2008-10-18,3706,2598,76098
2008-10-19,3561,2422,70635
2008-10-20,4166,2434,81370
2008-10-21,4174,2610,83061
2008-10-22,4193,2617,83019
2008-10-23,4260,2631,84448
2008-10-24,4313,2650,85826
2008-10-25,3744,2598,76609
2008-10-26,3561,2432,71515
2008-10-27,4133,2412,80312
2008-10-28,4129,2597,81968
